EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,4,2,2,4,5,5,2,5,4,5,1,2,2,5,1,5,2,5,5,5,4,2,4,5,5,5,2,2,5,5,5,2,2,4,1,4,2,2,4,5,4,2,2,2,1,5,2,2,5,42,40,38,28,33,31.68718686628433,78.62373330733222,31.89952932069128,55.48786072856311,5.180525557423565,low,high,low,high,low
5,4,2,4,5,5,5,2,5,4,5,1,2,2,5,1,5,5,5,5,5,4,2,2,5,5,5,2,2,5,5,5,2,2,4,1,4,2,4,4,5,4,2,2,2,1,5,2,1,5,42,39,38,25,34,31.68718686628433,58.10382915690394,31.89952932069128,62.72533070170514,47.69983680359604,low,high,low,high,low
5,4,2,2,5,5,5,2,5,4,5,1,2,2,5,1,4,5,5,4,5,4,2,2,4,5,5,2,2,5,5,5,2,2,5,1,4,2,2,3,5,4,2,2,2,1,5,2,1,5,42,43,37,25,34,31.68718686628433,82.91913751143704,67.33806671847192,62.72533070170514,47.69983680359604,low,high,high,high,low
5,4,2,2,4,5,5,2,5,4,5,1,2,2,5,1,4,2,5,4,5,4,2,4,4,5,5,2,2,5,5,5,2,2,3,2,4,2,4,4,5,4,2,2,2,1,5,2,1,5,41,39,37,28,32,23.17901079538796,58.10382915690394,67.33806671847192,55.48786072856311,34.399379124845744,low,high,high,high,low
5,5,2,2,4,5,5,2,5,4,5,1,2,2,5,1,5,5,5,4,5,4,2,2,5,5,5,2,2,5,5,5,2,2,3,1,4,2,2,4,5,4,2,2,2,1,5,2,1,5,42,43,37,25,33,31.68718686628433,82.91913751143704,67.33806671847192,62.72533070170514,5.180525557423565,low,high,high,high,low
5,4,2,2,5,5,5,2,5,4,5,1,2,1,5,1,4,5,5,4,5,4,2,2,4,5,5,2,2,5,5,5,2,2,5,1,4,2,2,3,5,4,2,1,3,1,4,2,1,5,42,45,36,25,35,31.68718686628433,39.54553199368488,42.497643648784006,62.72533070170514,84.2564222266214,low,low,low,high,high
5,4,2,2,4,5,5,2,4,4,5,1,2,2,5,1,4,5,5,4,5,4,2,2,5,5,5,2,2,5,5,5,2,2,3,1,4,2,2,5,5,4,2,2,2,1,5,2,2,5,42,41,37,25,34,31.68718686628433,80.03094526863389,67.33806671847192,62.72533070170514,47.69983680359604,low,high,high,high,low
5,4,2,4,5,5,5,2,5,4,5,1,2,2,5,1,5,5,5,5,5,4,2,2,4,5,4,2,2,5,5,5,2,2,4,2,4,2,2,3,5,4,2,2,2,1,5,2,1,5,41,41,37,25,32,23.17901079538796,80.03094526863389,67.33806671847192,62.72533070170514,34.399379124845744,low,high,high,high,low
5,4,2,4,5,5,5,2,5,4,5,1,2,2,5,1,4,2,5,4,5,4,2,2,5,5,5,2,1,5,5,5,2,2,3,1,4,2,2,4,5,4,2,2,2,1,5,1,2,5,42,41,37,27,34,31.68718686628433,80.03094526863389,67.33806671847192,26.729640583803864,47.69983680359604,low,high,high,low,low
5,4,2,2,5,5,5,2,5,4,5,1,2,2,5,1,4,5,5,5,5,4,2,2,5,5,4,2,2,5,5,5,2,2,4,1,4,2,4,5,5,4,2,2,2,1,5,1,2,5,42,40,36,24,35,31.68718686628433,78.62373330733222,42.497643648784006,75.94729258446176,84.2564222266214,low,high,low,high,high
5,4,2,4,5,5,5,2,5,4,5,1,2,2,5,1,5,2,5,5,5,4,2,2,5,5,5,2,2,5,5,5,2,2,5,1,4,2,2,4,5,4,2,1,2,1,5,2,1,5,42,42,38,28,35,31.68718686628433,60.86211430445535,31.89952932069128,55.48786072856311,84.2564222266214,low,high,low,high,high
5,5,2,2,5,5,5,2,4,4,5,1,2,2,5,1,5,2,5,4,5,4,2,4,5,5,5,2,2,5,5,5,2,3,3,2,4,2,2,4,5,4,2,1,3,2,5,2,1,5,40,40,37,28,35,27.42970095760932,78.62373330733222,67.33806671847192,55.48786072856311,84.2564222266214,low,high,high,high,high
5,4,2,4,5,5,5,2,5,4,5,1,2,2,5,1,5,2,5,5,5,4,2,2,4,5,4,2,2,4,5,5,2,2,3,1,4,2,2,4,5,4,2,2,2,2,5,2,1,5,41,41,37,28,33,23.17901079538796,80.03094526863389,67.33806671847192,55.48786072856311,5.180525557423565,low,high,high,high,low
5,4,2,5,5,5,5,2,5,4,5,1,2,1,5,1,5,5,5,4,5,4,2,2,5,5,5,2,2,4,5,5,2,2,3,2,4,2,2,3,5,4,2,2,2,1,5,2,2,5,41,40,38,25,34,23.17901079538796,78.62373330733222,31.89952932069128,62.72533070170514,47.69983680359604,low,high,low,high,low
5,4,2,5,4,5,5,2,5,4,5,1,2,2,5,1,4,2,5,5,5,4,2,2,5,5,5,2,1,5,5,5,2,2,5,2,4,2,2,5,5,4,2,2,2,2,5,2,2,5,40,40,37,28,35,27.42970095760932,78.62373330733222,67.33806671847192,55.48786072856311,84.2564222266214,low,high,high,high,high
5,4,2,2,4,5,5,2,5,4,5,1,2,2,5,1,4,2,5,4,5,4,2,5,5,5,5,2,1,5,5,5,2,1,4,2,4,2,2,4,5,4,2,2,2,1,5,2,1,5,41,42,37,28,34,23.17901079538796,60.86211430445535,67.33806671847192,55.48786072856311,47.69983680359604,low,high,high,high,low
5,4,2,2,5,5,5,2,4,4,5,1,2,2,5,1,4,5,5,5,5,4,2,2,5,5,4,2,2,4,5,5,2,2,5,2,4,2,2,5,5,4,2,2,2,1,4,2,1,5,41,42,35,25,37,23.17901079538796,60.86211430445535,69.95048953996736,62.72533070170514,79.89197717811061,low,high,high,high,high
