EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,5,2,5,1,1,1,1,1,5,1,5,1,5,2,1,2,5,1,1,1,2,1,5,1,1,1,5,5,1,3,5,1,5,1,2,1,5,5,1,1,2,1,5,2,5,1,1,5,1,-3,-38,-9,-9,2,19.23934914477008,64.42653256393665,43.93844038603779,77.0661285223388,45.26282303186811,low,high,low,high,low
2,5,2,5,1,1,1,1,1,5,1,1,1,5,1,1,2,3,1,1,1,4,1,5,1,1,1,4,5,1,3,2,1,5,1,2,1,5,5,1,2,2,1,5,2,2,1,1,5,1,2,-38,-4,-6,1,72.08839197865544,64.42653256393665,78.47127221298067,54.4445659143086,28.65520056808501,high,high,high,high,low
2,5,2,5,1,1,1,2,1,5,1,5,1,5,2,1,2,5,1,1,1,5,1,5,1,1,1,5,5,1,3,1,1,5,1,1,1,5,5,1,1,3,1,5,2,5,1,1,5,1,-1,-38,-7,-10,2,1.4695555483330232,64.42653256393665,6.154878016351157,8.512509590374071,45.26282303186811,low,high,low,low,low
2,5,2,5,1,1,1,1,1,5,1,1,1,5,2,1,1,5,1,1,1,5,1,5,2,1,1,5,5,1,2,2,1,5,1,2,1,5,5,1,1,2,1,5,2,2,1,1,5,1,0,-38,-6,-9,3,0.3554470862498411,64.42653256393665,71.09503112747343,77.0661285223388,23.64161399963165,low,high,high,high,low
2,5,1,5,1,1,1,2,1,5,1,1,1,5,2,1,2,2,1,1,1,5,1,5,1,1,1,5,5,1,3,2,1,5,1,2,1,5,5,1,1,2,1,5,1,2,1,1,5,1,1,-38,-5,-8,1,69.54963898828078,64.42653256393665,76.42575253043067,22.994146794032744,28.65520056808501,high,high,high,low,low
2,5,2,5,1,1,1,1,1,5,1,1,1,2,2,1,2,5,1,1,1,5,1,5,1,1,1,4,5,1,5,2,1,5,1,2,1,5,5,1,1,2,1,5,2,5,1,1,5,1,0,-35,-5,-8,2,0.3554470862498411,32.33366918109286,76.42575253043067,22.994146794032744,45.26282303186811,low,low,high,low,low
2,5,3,5,1,1,1,2,1,2,1,1,1,5,2,1,2,2,1,1,1,5,1,5,1,1,2,5,5,1,2,5,1,5,1,2,1,5,5,1,2,2,1,5,2,2,1,1,5,1,1,-38,-7,-6,5,69.54963898828078,64.42653256393665,6.154878016351157,54.4445659143086,47.45568237665967,high,high,low,high,low
2,5,2,5,1,1,1,2,1,5,1,1,1,5,2,1,2,2,1,1,1,5,1,5,1,1,1,5,5,1,3,1,1,5,1,2,1,5,5,1,1,2,1,5,2,2,1,1,5,1,1,-38,-4,-7,2,69.54963898828078,64.42653256393665,78.47127221298067,5.486925082312248,45.26282303186811,high,high,high,low,low
2,5,1,5,1,1,1,1,1,5,1,5,1,5,2,1,2,2,1,1,1,5,2,5,1,1,1,5,5,1,3,2,1,5,1,2,1,5,5,1,2,2,1,5,2,2,1,1,5,1,2,-38,-9,-6,2,72.08839197865544,64.42653256393665,43.93844038603779,54.4445659143086,45.26282303186811,high,high,low,high,low
2,5,2,5,1,1,1,1,1,2,1,1,1,5,2,1,3,2,1,1,1,5,1,5,1,1,2,5,5,1,3,5,1,5,1,1,1,5,5,1,1,2,1,5,2,2,1,1,5,1,2,-38,-6,-6,5,72.08839197865544,64.42653256393665,71.09503112747343,54.4445659143086,47.45568237665967,high,high,high,high,low
2,5,2,5,1,1,1,1,1,5,1,2,1,5,2,1,2,2,1,1,1,5,1,5,1,1,1,5,5,1,3,5,1,5,1,1,1,5,5,1,1,2,1,5,2,5,1,1,5,1,-1,-38,-9,-6,2,1.4695555483330232,64.42653256393665,43.93844038603779,54.4445659143086,45.26282303186811,low,high,low,high,low
2,5,2,5,1,1,1,2,1,5,1,5,1,5,2,1,2,5,1,1,1,5,1,5,1,1,2,4,5,1,3,2,1,5,1,3,1,5,5,1,1,2,1,5,2,5,1,1,5,1,-3,-38,-8,-9,2,19.23934914477008,64.42653256393665,77.43575803597018,77.0661285223388,45.26282303186811,low,high,high,high,low
1,5,2,5,1,1,1,2,1,5,1,5,1,5,1,1,2,5,1,1,1,2,1,5,1,1,2,2,5,1,3,5,1,5,1,2,2,5,5,1,1,2,1,5,1,3,1,1,5,1,-1,-38,-7,-7,0,1.4695555483330232,64.42653256393665,6.154878016351157,5.486925082312248,24.09899728268631,low,high,low,low,low
2,5,2,5,1,1,1,2,1,5,1,2,1,5,2,1,2,2,1,1,1,2,2,5,1,1,1,2,5,1,3,1,1,5,1,2,1,5,5,1,1,2,1,5,2,2,1,1,5,1,1,-38,-2,-3,2,69.54963898828078,64.42653256393665,29.099681781785623,29.236778579807176,45.26282303186811,high,high,low,low,low
2,5,1,5,1,1,1,2,1,5,1,1,1,2,2,1,2,2,1,1,1,5,1,5,1,1,1,4,5,1,2,5,1,5,1,2,1,5,5,1,1,3,1,5,2,2,1,1,5,1,0,-35,-7,-7,2,0.3554470862498411,32.33366918109286,6.154878016351157,5.486925082312248,45.26282303186811,low,low,low,low,low
2,5,1,5,1,1,1,2,1,5,1,1,1,5,2,1,3,5,1,1,1,5,1,5,1,1,2,4,5,1,2,1,1,5,1,1,2,5,5,1,2,2,1,5,2,2,1,1,5,1,2,-38,-1,-10,2,72.08839197865544,64.42653256393665,88.30895236181736,8.512509590374071,45.26282303186811,high,high,high,low,low
2,5,1,5,1,1,1,2,1,5,1,5,1,5,2,1,1,5,1,1,1,2,1,5,1,1,1,2,5,1,2,2,1,5,1,3,1,5,5,1,2,2,1,5,2,5,1,1,5,1,-3,-38,-7,-8,2,19.23934914477008,64.42653256393665,6.154878016351157,22.994146794032744,45.26282303186811,low,high,low,low,low
1,5,1,5,1,1,1,2,1,5,1,1,1,5,2,1,3,2,1,1,1,5,1,5,1,1,1,5,5,1,2,2,1,5,1,1,1,5,5,1,1,2,1,5,2,5,1,1,5,1,-3,-38,-4,-8,2,19.23934914477008,64.42653256393665,78.47127221298067,22.994146794032744,45.26282303186811,low,high,high,low,low
2,5,1,5,1,1,1,2,1,5,1,5,1,5,2,1,2,5,1,1,1,5,1,5,1,1,1,5,5,1,5,2,1,5,1,2,1,5,5,1,1,2,1,5,1,3,1,1,5,1,2,-38,-9,-11,1,72.08839197865544,64.42653256393665,43.93844038603779,55.62279076684582,28.65520056808501,high,high,low,high,low
