EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,4,2,5,1,1,2,2,2,3,2,1,1,4,1,1,1,3,1,5,1,4,1,4,1,2,1,4,5,2,5,2,1,2,2,5,1,5,5,1.0,5,3,1,5,2,1,2,1,4,1,8.0,-31.0,-1.0,-7.0,-1.0,31.573038023678745,86.45115286391469,88.30895236181736,5.486925082312248,45.80845252974124,low,high,high,low,low
5,4,1,4,2,1,1,4,1,2,5,5,1,4,1,1,1,2,1,5,1,4,1,4,1,5,1,4,5,2,5,2,1,5,2,2,1,2,5,,2,2,2,4,2,2,1,1,4,1,7.0,-33.0,-8.0,-5.0,,80.7216491799307,10.931204393400838,77.43575803597018,54.576639769299184,,high,low,high,high,low
5,4,1,5,1,1,1,5,2,2,5,2,2,2,1,1,1,2,1,2,1,5,1,4,1,2,1,4,5,2,5,4,1,5,2,2,1,5,5,,2,1,1,5,2,2,2,1,4,1,10.0,-32.0,-8.0,-9.0,,27.42970095760932,46.41711503819899,77.43575803597018,77.0661285223388,,low,low,high,high,low
5,4,2,5,2,2,1,2,1,3,2,5,1,4,1,1,1,2,1,5,1,4,1,2,2,2,1,4,4,2,5,2,1,5,2,2,1,2,5,1.0,5,2,1,5,2,1,1,1,4,1,10.0,-32.0,-8.0,-3.0,1.0,27.42970095760932,46.41711503819899,77.43575803597018,29.236778579807176,28.65520056808501,low,low,high,low,low
5,4,1,4,1,1,1,4,1,2,5,5,1,4,1,1,1,3,1,2,1,4,1,5,1,2,1,4,5,2,5,2,1,2,2,5,1,5,5,1.0,5,3,1,5,1,1,1,1,5,1,11.0,-33.0,-7.0,-10.0,2.0,23.179010795387956,10.931204393400838,6.154878016351157,8.512509590374071,45.26282303186811,low,low,low,low,low
5,4,1,5,2,1,2,2,1,3,5,5,1,4,1,1,1,2,1,2,1,5,1,5,1,2,1,4,4,2,5,2,1,2,2,5,1,2,5,,5,2,1,5,2,1,2,2,5,2,11.0,-33.0,-7.0,-3.0,,23.179010795387956,10.931204393400838,6.154878016351157,29.236778579807176,,low,low,low,low,low
5,4,1,5,2,1,2,2,2,2,2,5,2,4,1,1,1,2,1,2,1,2,1,5,2,5,1,4,5,2,5,5,1,4,2,2,1,2,5,,5,2,1,4,1,2,2,1,5,1,7.0,-34.0,-7.0,-3.0,,80.7216491799307,94.38897867809928,6.154878016351157,29.236778579807176,,high,high,low,low,low
5,4,1,4,2,1,2,2,1,2,5,5,2,2,1,1,1,2,1,5,1,4,1,5,2,5,1,4,4,2,5,2,1,2,2,2,1,5,5,,2,3,2,5,1,1,2,1,5,1,8.0,-30.0,-5.0,-5.0,,31.573038023678745,6.304876883726748,76.42575253043067,54.576639769299184,,low,low,high,high,low
5,4,1,5,1,1,1,4,1,3,2,5,1,4,1,1,1,5,1,2,1,2,1,2,1,2,1,4,4,2,5,2,1,2,2,2,1,5,5,,5,2,2,5,2,2,2,1,5,1,10.0,-30.0,-5.0,-11.0,,27.42970095760932,6.304876883726748,76.42575253043067,55.62279076684582,,low,low,high,high,low
5,4,1,5,2,2,2,2,1,2,5,5,1,4,1,1,1,2,1,5,1,2,1,5,1,5,1,4,5,2,5,2,1,2,2,5,1,5,5,,2,2,1,5,1,1,2,2,5,1,4.0,-34.0,-4.0,-6.0,,85.44154131469132,94.38897867809928,78.47127221298067,54.4445659143086,,high,high,high,high,low
5,4,1,5,1,1,2,2,1,3,2,5,1,5,1,1,1,2,1,4,1,4,1,4,1,2,1,4,5,2,5,5,1,2,2,2,1,2,5,,5,1,2,5,1,1,2,1,5,1,11.0,-34.0,-10.0,-3.0,,23.179010795387956,94.38897867809928,26.17219239644612,29.236778579807176,,low,high,low,low,low
5,4,2,5,1,1,1,2,2,2,4,5,1,4,1,1,1,2,1,5,1,4,1,2,1,2,1,4,4,2,5,2,1,2,2,2,1,5,5,,5,2,1,5,2,1,2,1,2,1,13.0,-26.0,-7.0,-6.0,,10.758946994162551,41.11702373882272,6.154878016351157,54.4445659143086,,low,low,low,high,low
5,4,2,5,1,1,2,2,1,3,5,2,1,2,1,1,1,5,1,5,1,2,1,2,1,5,1,4,5,2,5,2,1,2,2,2,1,5,5,,5,2,1,5,2,1,1,1,4,1,11.0,-28.0,-2.0,-9.0,,23.179010795387956,71.25704566249172,29.099681781785623,77.0661285223388,,low,high,low,high,low
5,4,1,5,2,1,1,4,1,3,5,1,1,2,1,1,1,3,1,5,1,4,1,5,1,2,1,4,5,2,5,4,1,2,2,2,1,5,5,,5,2,1,5,1,1,1,1,4,2,14.0,-31.0,-6.0,-10.0,,89.69705744178556,86.45115286391469,71.09503112747343,8.512509590374071,,high,high,high,low,low
5,4,2,4,2,1,1,2,1,2,2,1,1,4,1,1,1,2,1,5,1,2,1,2,1,5,1,4,4,2,5,2,1,5,2,2,1,2,5,,5,3,2,5,2,1,1,1,5,1,8.0,-32.0,-1.0,-2.0,,31.573038023678745,46.41711503819899,88.30895236181736,88.29861100851832,,low,low,high,high,low
5,4,1,5,1,1,2,4,2,2,4,5,1,4,1,1,1,2,1,5,1,2,1,5,2,5,1,4,5,2,5,4,1,5,2,2,1,5,5,1.0,5,2,2,5,1,1,1,1,4,2,10.0,-35.0,-7.0,-8.0,1.0,27.42970095760932,32.33366918109286,6.154878016351157,22.994146794032744,28.65520056808501,low,low,low,low,low
5,4,1,5,2,2,1,4,1,3,2,5,2,2,1,1,1,2,1,5,2,2,1,4,1,2,1,4,4,2,5,2,1,5,2,2,1,2,5,1.0,5,2,1,5,2,1,1,2,5,2,11.0,-33.0,-6.0,-4.0,1.0,23.179010795387956,10.931204393400838,71.09503112747343,68.203588745062,28.65520056808501,low,low,high,high,low
5,4,1,5,2,1,1,4,1,2,5,5,1,2,1,1,1,5,1,2,1,2,1,4,1,5,1,4,5,2,5,4,1,2,2,5,1,2,4,,5,2,1,5,2,1,2,2,4,1,8.0,-29.0,-7.0,-8.0,,31.573038023678745,8.820583429606408,6.154878016351157,22.994146794032744,,low,low,low,low,low
5,4,1,5,2,2,1,2,1,3,2,5,2,4,1,1,1,5,1,5,1,4,1,5,1,5,1,4,5,2,5,4,1,4,2,2,1,5,5,,5,1,1,5,1,1,2,1,5,1,7.0,-36.0,-10.0,-9.0,,80.7216491799307,66.42861856263067,26.17219239644612,77.0661285223388,,high,high,low,high,low
5,4,1,5,1,1,2,2,1,2,4,5,1,4,1,1,1,2,1,2,1,4,1,2,2,2,1,4,4,2,5,2,1,2,2,2,1,2,5,,5,3,1,5,1,1,2,2,4,1,13.0,-29.0,-5.0,-3.0,,10.758946994162551,8.820583429606408,76.42575253043067,29.236778579807176,,low,low,high,low,low
